,N,gs_mean,gs_sd,hung_mean,hung_sd,gs_man_mean,gs_w_mean,gs_man_sd,gs_w_sd,h_man_mean,h_man_sd,h_w_mean,h_w_sd
0,3.0,9.621890547263682,1.2394831212889506,9.308457711442786,1.0170438090135234,4.407960199004975,5.213930348258707,0.991330579780509,1.3034588505681253,4.567164179104478,1.0376494677445018,4.741293532338308,1.0308910312966935
1,4.0,14.796019900497512,1.8420597383369492,14.049751243781095,1.4344031643199011,6.7164179104477615,8.07960199004975,1.6106455551975463,1.9140616084118138,7.08457711442786,1.5993157740964201,6.965174129353234,1.5917855051882346
2,5.0,20.402985074626866,2.6574030640413056,19.328358208955223,2.114625685799919,8.621890547263682,11.781094527363184,2.143902611584817,2.876080804848831,9.422885572139304,2.1389889274703586,9.90547263681592,2.248559516779023
3,6.0,27.393034825870647,3.4014337041578653,25.437810945273633,2.612922345589245,11.597014925373134,15.796019900497512,2.8092331773592805,3.986625650798177,12.955223880597014,2.7097942864038345,12.482587064676617,2.74789833757216
4,7.0,34.840796019900495,4.3202462155743016,31.90547263681592,3.0864251004191745,14.606965174129353,20.233830845771145,3.6124439433410025,5.1874897350494855,16.09452736318408,3.262823915030891,15.810945273631841,3.3740301720627888
5,8.0,42.45273631840796,4.465311296553061,39.01990049751244,3.280183225072915,17.51741293532338,24.935323383084576,4.606619723141019,5.866923897571921,19.37313432835821,3.5658203301436364,19.64676616915423,3.869056989765045
6,9.0,51.865671641791046,6.366071447261787,45.97014925373134,4.116929010514019,20.069651741293534,31.796019900497512,5.326830612860658,7.655924769719331,22.81094527363184,4.134498712297544,23.1592039800995,4.5193503253436855
7,10.0,61.656716417910445,7.268188712752242,54.18407960199005,4.95791743311966,23.3681592039801,38.288557213930346,6.664366518621809,9.514531959479678,26.890547263681594,4.731591719390524,27.29353233830846,5.195999226347037
8,11.0,71.25373134328358,8.036808975424432,62.12935323383085,5.054026521458113,27.497512437810947,43.756218905472636,6.591755743433954,10.67966636332057,31.074626865671643,5.639982534110778,31.054726368159205,5.683483971100054
9,12.0,80.42786069651741,9.576326012646891,69.80099502487562,6.389068711868352,30.6318407960199,49.79601990049751,7.786769618688315,11.592807428729332,34.8955223880597,6.804706448535915,34.90547263681592,6.328982532800791
10,13.0,91.79601990049751,11.438233433515947,79.38308457711443,7.321715129517875,34.7363184079602,57.059701492537314,8.090434127913623,14.191068244161459,39.681592039801,6.904933703717678,39.701492537313435,7.048435837914256
11,14.0,103.99004975124379,11.57712833553781,88.91542288557214,7.4463286890435905,38.134328358208954,65.85572139303483,9.992840720818169,16.19333441888946,44.73134328358209,8.01919339376269,44.18407960199005,7.916498296193327
12,15.0,115.01492537313433,13.148185278562323,97.87562189054727,8.439161850344998,43.37313432835821,71.64179104477611,11.205136082478681,16.58858175903291,49.27860696517413,8.043754723370874,48.59701492537314,8.584974725925296
13,16.0,127.83084577114428,13.221242142139841,108.7910447761194,7.67633502414955,46.3681592039801,81.46268656716418,12.244336694755145,19.283408691055342,54.36318407960199,9.355342741500456,54.42786069651741,8.402738833291055
14,17.0,141.03482587064676,14.184279364653227,118.35820895522389,8.130254902284394,49.80099502487562,91.23383084577114,13.921932301407557,21.60324164914247,58.85572139303483,9.774665191298885,59.50248756218905,9.913185349880962
15,18.0,154.03482587064676,16.320042312890227,128.6915422885572,9.09364492980965,54.78606965174129,99.24875621890547,13.808656885270354,21.441031014045794,64.57213930348259,10.732475012805644,64.11940298507463,10.281326356156148
16,19.0,167.40298507462686,17.542000770857815,139.27860696517413,10.060416991842398,57.62189054726368,109.78109452736318,13.239573951149644,24.59983416196174,68.6318407960199,9.939003023167231,70.64676616915423,9.56083688753499
17,20.0,184.3084577114428,19.27522705727361,151.71144278606965,10.801218376088885,61.75124378109453,122.55721393034825,14.442223199538,27.219440850226974,75.83084577114428,11.275249167140144,75.88059701492537,10.768271525263051
